Produto;PreÁo;Link;Data;Fabricante;Modelo
Placa de VÌdeo RTX 4090 Gaming Trio MSI NVIDIA GeForce, 24 GB GDDR6X, DLSS, Ray Tracing - GeForce RTX 4090 24G Geforce RTX 4090 GAMING TRIO 24G;R$ ---;https://www.kabum.com.br/produto/388013/placa-de-video-rtx-4090-gaming-trio-msi-nvidia-geforce-24-gb-gddr6x-dlss-ray-tracing-geforce-rtx-4090-24g-geforce-rtx-4090-gaming-trio-24g;05/12/2022 05:58;MSI;RTX 4090 
Placa de VÌdeo RTX 4090 Zotac NVIDIA Gaming GeForce AMP Extreme AIRO, 24 GB GDDR6X, ARGB, DLSS, Ray Tracing - ZT-D40900B-10P;R$ ---;https://www.kabum.com.br/produto/388813/placa-de-video-rtx-4090-zotac-nvidia-gaming-geforce-amp-extreme-airo-24-gb-gddr6x-argb-dlss-ray-tracing-zt-d40900b-10p;05/12/2022 05:58;Zotac;RTX 4090 
Placa de VÌdeo RTX 3090 Turbo 24G Gigabyte NVIDIA GeForce, 24GB GDDR6X, DLSS, Ray Tracing - GV-N3090TURBO-24GD;R$ ---;https://www.kabum.com.br/produto/232735/placa-de-video-rtx-3090-turbo-24g-gigabyte-nvidia-geforce-24gb-gddr6x-dlss-ray-tracing-gv-n3090turbo-24gd;05/12/2022 05:58;Gigabyte;RTX 3090 
Placa de VÌdeo RTX 3060 EVGA GeForce XC GAMING, 12GB GDDR6, DualFan, Metal Backplate, DLSS, Ray Tracing - 12G-P5-3657-KR;R$ ---;https://www.kabum.com.br/produto/149999/placa-de-video-rtx-3060-evga-geforce-xc-gaming-12gb-gddr6-dualfan-metal-backplate-dlss-ray-tracing-12g-p5-3657-kr;05/12/2022 05:58;EVGA;RTX 3060 
Placa De VÌdeo Asus Tuf Nvidia, RTX 3090 TI - 24GB, Gddr6x, 384 bits, Oc EdiTIon.;R$ ---;https://www.kabum.com.br/produto/368154/placa-de-video-asus-tuf-nvidia-rtx-3090-TI-24gb-gddr6x-384-bits-oc-ediTIon-;05/12/2022 05:58;Asus;RTX 3090 TI
Placa de VÌdeo RTX 3090 TI EX Gamer Galax NVIDIA GeForce, RGB, 24GB GDDR6X, DLSS, Ray Tracing - 39IXM5MD6HEX;R$ ---;https://www.kabum.com.br/produto/372564/placa-de-video-rtx-3090-TI-ex-gamer-galax-nvidia-geforce-rgb-24gb-gddr6x-dlss-ray-tracing-39ixm5md6hex;05/12/2022 05:58;Galax;RTX 3090 TI
Placa de VÌdeo Quadro RTX A4000 PNY Nvidia, 16GB, GDDR6 Com ECC, Ray Tracing - VCNRTXA4000-P;R$ ---;https://www.kabum.com.br/produto/377554/placa-de-video-quadro-rtx-a4000-pny-nvidia-16gb-gddr6-com-ecc-ray-tracing-vcnrtxa4000-p;05/12/2022 05:58;PNY;RTX A4000 
Placa de VÌdeo GT 210 VGA NVIDIA MSI GEFORCE 1GB DDR3 N210-MD1G/D3;R$ ---;https://www.kabum.com.br/produto/94232/placa-de-video-gt-210-vga-nvidia-msi-geforce-1gb-ddr3-n210-md1g-d3;05/12/2022 05:58;NVIDIA;GT 210 
Placa de VÌdeo GeForce GT 1030 2GB EXOC White, GDDR5, 64 Bits - 30NPH4HVQ5EW;R$ ---;https://www.kabum.com.br/produto/160868/placa-de-video-geforce-gt-1030-2gb-exoc-white-gddr5-64-bits-30nph4hvq5ew;05/12/2022 05:58;;GT 1030 
Placa de VÌdeo RTX 3080 Gaming OC Gigabyte NVIDIA GeForce, 12GB GDDR6X, RGB, LHR, DLSS, Ray Tracing - GV-N3080GAMING OC-12GD;R$ ---;https://www.kabum.com.br/produto/320817/placa-de-video-rtx-3080-gaming-oc-gigabyte-nvidia-geforce-12gb-gddr6x-rgb-lhr-dlss-ray-tracing-gv-n3080gaming-oc-12gd;05/12/2022 05:58;Gigabyte;RTX 3080 
Placa de VÌdeo RTX 3080 Serious Gaming Galax NVIDIA GeForce, 10GB GDDR6X, LHR, RGB, DLSS, Ray Tracing - 38NWM3MD99RG;R$ ---;https://www.kabum.com.br/produto/249050/placa-de-video-rtx-3080-serious-gaming-galax-nvidia-geforce-10gb-gddr6x-lhr-rgb-dlss-ray-tracing-38nwm3md99rg;05/12/2022 05:58;Galax;RTX 3080 
Placa de VÌdeo RTX 3090 TI O24G GAMING Asus TUF, 24GB, GDDR6X - 90YV0HC1-M000;R$ ---;https://www.kabum.com.br/produto/303565/placa-de-video-rtx-3090-TI-o24g-gaming-asus-tuf-24gb-gddr6x-90yv0hc1-m000;05/12/2022 05:58;Asus;RTX 3090 TI
Placa de VÌdeo RTX 3060 Elite Gigabyte Aorus NVIDIA GeForce, 12GB GDDR6, RGB, LHR, DLSS, Ray Tracing - GV-N3060AORUS E-12GD (rev 2.0);R$ ---;https://www.kabum.com.br/produto/167208/placa-de-video-rtx-3060-elite-gigabyte-aorus-nvidia-geforce-12gb-gddr6-rgb-lhr-dlss-ray-tracing-gv-n3060aorus-e-12gd-rev-2-0-;05/12/2022 05:58;Gigabyte;RTX 3060 
Placa de VÌdeo GTX 1660 OC Gigabyte NVIDIA GeForce, 6GB GDDR5 - GV-N1660OC-6GD;R$ ---;https://www.kabum.com.br/produto/101039/placa-de-video-gtx-1660-oc-gigabyte-nvidia-geforce-6gb-gddr5-gv-n1660oc-6gd;05/12/2022 05:58;Gigabyte;GTX 1660 
Placa de VÌdeo T600 PNY NVIDIA 4GB, GDDR6 - VCNT600-PB;R$ ---;https://www.kabum.com.br/produto/161433/placa-de-video-t600-pny-nvidia-4gb-gddr6-vcnt600-pb;05/12/2022 05:58;PNY;T600 
Placa De VÌdeo Nvidia Geforce Gt 210, 1Gb GDDR3 - Af210-1024d3l5-v2 Afox;R$ ---;https://www.kabum.com.br/produto/306286/placa-de-video-nvidia-geforce-gt-210-1gb-gddr3-af210-1024d3l5-v2-afox;05/12/2022 05:58;Nvidia;Gt 210 
Placa De VÌdeo AFOX Nvidia Geforce Gtx 750, GDDR5, PCI Express, DVI, HDMI, D-Sub - Bl750-4096d5h6;R$ ---;https://www.kabum.com.br/produto/306300/placa-de-video-afox-nvidia-geforce-gtx-750-gddr5-pci-express-dvi-hdmi-d-sub-bl750-4096d5h6;05/12/2022 05:58;AFOX;Gtx 750 
