,Produto,Preço,Link,Data
85,"Amd Radeon Rx 560-d 4gb Gddr5, 128bits - Superframe Rx560/4gd5p8dip","R$ 1.708,49",https://www.kabum.com.br/produto/263344/amd-radeon-rx-560-d-4gb-gddr5-128bits-superframe-rx560-4gd5p8dip,05/12/2022 05:32:19
86,Placa De Video Afox Radeon Rx 550 4gb Ddr5 128 Bits - Hdmi - Dvi - Dp - Afrx550-4096d5h4-v4,"R$ 999,00",https://www.kabum.com.br/produto/268266/placa-de-video-afox-radeon-rx-550-4gb-ddr5-128-bits-hdmi-dvi-dp-afrx550-4096d5h4-v4,05/12/2022 05:32:19
87,Placa De Video Radeon Afox Rx550 4GB DDR5 Afrx550-4096d5h4-v5,"R$ 1.539,89",https://www.kabum.com.br/produto/306304/placa-de-video-radeon-afox-rx550-4gb-ddr5-afrx550-4096d5h4-v5,05/12/2022 05:32:19
88,Placa De Video Power Color Radeon Rx 550 4Gb Gddr5 128bits - Axrx 550 4gbd5-hle,"R$ 910,44",https://www.kabum.com.br/produto/304368/placa-de-video-power-color-radeon-rx-550-4gb-gddr5-128bits-axrx-550-4gbd5-hle,05/12/2022 05:32:19
89,"Placa De Video, Power Color Radeon Axrx 6600 8GB, GDDR6 - Axrx 6600 8gbd6-3dh","R$ 2.299,90",https://www.kabum.com.br/produto/309546/placa-de-video-power-color-radeon-axrx-6600-8gb-gddr6-axrx-6600-8gbd6-3dh,05/12/2022 05:32:19
90,Placa De Video 8GB Rx6600 Ddr6 128bits 3xdisplayport/1xhdmi Rx6600-challenger D Asrock,"R$ 2.530,00",https://www.kabum.com.br/produto/340261/placa-de-video-8gb-rx6600-ddr6-128bits-3xdisplayport-1xhdmi-rx6600-challenger-d-asrock,05/12/2022 05:32:19
91,"Placa De Vídeo Radeon Rx 550, 4Gb Gddr5 Rx550-4gd5 Snake",R$ ---,https://www.kabum.com.br/produto/306280/placa-de-video-radeon-rx-550-4gb-gddr5-rx550-4gd5-snake,05/12/2022 05:32:19
92,"Placa de Vídeo RX 6900 XT ASRock AMD Radeon Graphics, 16GB GDDR6, PCI Express 4.0, 16 Gbps, Hardware Ray Tracing - RX6900XT PGD 16GO",R$ ---,https://www.kabum.com.br/produto/136468/placa-de-video-rx-6900-xt-asrock-amd-radeon-graphics-16gb-gddr6-pci-express-4-0-16-gbps-hardware-ray-tracing-rx6900xt-pgd-16go,05/12/2022 05:32:19
93,"Placa de Vídeo RX 6750 XT XFX Speedster QICK319 AMD Radeon Ultra Gaming, 12GB GDDR6, Ray Tracing, RDNA2 - RX-675XYLUDP QICK319 ULTRA",R$ ---,https://www.kabum.com.br/produto/353521/placa-de-video-rx-6750-xt-xfx-speedster-qick319-amd-radeon-ultra-gaming-12gb-gddr6-ray-tracing-rdna2-rx-675xyludp-qick319-ultra,05/12/2022 05:32:19
94,"Placa de Vídeo RX 6750 XT XFX Speedster MERC319 AMD Radeon Black Gaming, 12GB GDDR6, Ray Tracing, RDNA2 - RX-675XYTBDP MERC319 BLACK",R$ ---,https://www.kabum.com.br/produto/353522/placa-de-video-rx-6750-xt-xfx-speedster-merc319-amd-radeon-black-gaming-12gb-gddr6-ray-tracing-rdna2-rx-675xytbdp-merc319-black,05/12/2022 05:32:19
95,"Placa de Vídeo RX 6750 XT ELITE AORUS Radeon, 12GB GDDR6, RGB, AMD RDNA 2 Radeon, Windforce, Metal Backplate - GV-R675XTAORUS E-12GD",R$ ---,https://www.kabum.com.br/produto/345888/placa-de-video-rx-6750-xt-elite-aorus-radeon-12gb-gddr6-rgb-amd-rdna-2-radeon-windforce-metal-backplate-gv-r675xtaorus-e-12gd,05/12/2022 05:32:19
96,"Placa De Vídeo, Asus Amd Radeon Rx 6600, Dual 8GB, GDDR6 - Dualrx66008g",R$ ---,https://www.kabum.com.br/produto/282302/placa-de-video-asus-amd-radeon-rx-6600-dual-8gb-gddr6-dualrx66008g,05/12/2022 05:32:19
97,"Placa de Vídeo RX 6500 XT ITX Power Color AMD Radeon, 4GB GDDR6, Ray Tracing - AXRX 6500 XT 4GBD6-DH",R$ ---,https://www.kabum.com.br/produto/308222/placa-de-video-rx-6500-xt-itx-power-color-amd-radeon-4gb-gddr6-ray-tracing-axrx-6500-xt-4gbd6-dh,05/12/2022 05:32:19
98,"Placa de Vídeo RX 6800 GAMING OC 16G Gigabyte Radeon, 16GB, GDDR6, RGB Fusion - GV-R68GAMING OC-16GD",R$ ---,https://www.kabum.com.br/produto/147645/placa-de-video-rx-6800-gaming-oc-16g-gigabyte-radeon-16gb-gddr6-rgb-fusion-gv-r68gaming-oc-16gd,05/12/2022 05:32:19
99,"Placa de Vídeo RX 6800 XT PowerColor AMD Radeon Dragon, 16GB GDDR6, Ray Tracing, LED Vermelho - AXRX 6800XT 16GBD6-3DHR/OC",R$ ---,https://www.kabum.com.br/produto/383213/placa-de-video-rx-6800-xt-powercolor-amd-radeon-dragon-16gb-gddr6-ray-tracing-led-vermelho-axrx-6800xt-16gbd6-3dhr-oc,05/12/2022 05:32:19
100,"Placa de Vídeo RX 6750 XT Gigabyte AMD Radeon, 12GB GDDR6, RGB, AMD RDNA 2 Radeon, Metal Backplate - GV-R675XTGAMING OC-12GD",R$ ---,https://www.kabum.com.br/produto/345887/placa-de-video-rx-6750-xt-gigabyte-amd-radeon-12gb-gddr6-rgb-amd-rdna-2-radeon-metal-backplate-gv-r675xtgaming-oc-12gd,05/12/2022 05:32:19
101,"Placa de Vídeo RX 6750 XT Gaming OC Sapphire Pulse, 12GB GDDR6, Arquitetura RDNA2, Ray Tracing - 11318-03-20G",R$ ---,https://www.kabum.com.br/produto/351579/placa-de-video-rx-6750-xt-gaming-oc-sapphire-pulse-12gb-gddr6-arquitetura-rdna2-ray-tracing-11318-03-20g,05/12/2022 05:32:19
102,"Placa de Vídeo RX 6900 XT Gigabyte Radeon, 16 GB, GDDR6, RGB Fusion - GV-R69XTGAMING OC-16GD",R$ ---,https://www.kabum.com.br/produto/136513/placa-de-video-rx-6900-xt-gigabyte-radeon-16-gb-gddr6-rgb-fusion-gv-r69xtgaming-oc-16gd,05/12/2022 05:32:19
103,"Placa de Vídeo RX 6800 ASUS TUF GAMING AMD Radeon, 16GB, GDDR6 - TUF-RX6800-O16G-GAMING",R$ ---,https://www.kabum.com.br/produto/132851/placa-de-video-rx-6800-asus-tuf-gaming-amd-radeon-16gb-gddr6-tuf-rx6800-o16g-gaming,05/12/2022 05:32:19
104,"Placa de Vídeo RX 6800 XT Gigabyte Radeon, 16 GB, GDDR6, RGB Fusion, PCI Express 4.0 - GV-R68XTGAMING OC-16GD",R$ ---,https://www.kabum.com.br/produto/136529/placa-de-video-rx-6800-xt-gigabyte-radeon-16-gb-gddr6-rgb-fusion-pci-express-4-0-gv-r68xtgaming-oc-16gd,05/12/2022 05:32:19
105,"Placa De Vídeo, Gigabyte, Aorus, AMD RX 6900xt - 16GB, 256bits",R$ ---,https://www.kabum.com.br/produto/367905/placa-de-video-gigabyte-aorus-amd-rx-6900xt-16gb-256bits,05/12/2022 05:32:19
106,"Placa De Vídeo Asus Tuf RX 6800, XT OC Edition 16GB, GDDR6, 256 Bit - Tuf-Rx6800xt-O16g-Gaming",R$ ---,https://www.kabum.com.br/produto/275768/placa-de-video-asus-tuf-rx-6800-xt-oc-edition-16gb-gddr6-256-bit-tuf-rx6800xt-o16g-gaming,05/12/2022 05:32:19
107,"Placa de Vídeo RX 6950 XT Nitro+ Gaming OC Sapphire, ARGB, 16GB GDDR6, Arquitetura RDNA2, Ray Tracing - 11317-02-20G",R$ ---,https://www.kabum.com.br/produto/351577/placa-de-video-rx-6950-xt-nitro-gaming-oc-sapphire-argb-16gb-gddr6-arquitetura-rdna2-ray-tracing-11317-02-20g,05/12/2022 05:32:19
108,"Placa de Vídeo RX 6800 Sapphire Radeon PULSE AMD Gaming, 16 Gbps, 16GB, DDR6 - 11305-02-20G",R$ ---,https://www.kabum.com.br/produto/134361/placa-de-video-rx-6800-sapphire-radeon-pulse-amd-gaming-16-gbps-16gb-ddr6-11305-02-20g,05/12/2022 05:32:19
